"","region","zonename","zone","woredaname","woreda","local_unit","conversion"
"1",1,"North Western Tigray",1,"Tahitay Adiyabo",1,3,1310.83203125
"2",1,"North Western Tigray",1,"Laelay Adiabo",2,3,1801.46801757812
"3",1,"North Western Tigray",1,"Medebay Zana",3,3,1801.46801757812
"4",1,"North Western Tigray",1,"Asegede Tsimbila",5,3,1310.83203125
"5",1,"North Western Tigray",1,"Tselemt",6,3,1310.83203125
"6",1,"Central Tigray",2,"Mereb Leha",1,3,1617.37194824219
"7",1,"Central Tigray",2,"Ahiferom",2,3,2428.77197265625
"8",1,"Central Tigray",2,"Wereilehi",3,3,2428.77197265625
"9",1,"Central Tigray",2,"Adwa",4,3,2428.77197265625
"10",1,"Central Tigray",2,"Tahitay Maychew",6,3,1617.37194824219
"11",1,"Central Tigray",2,"NADER ADET",7,3,2428.77197265625
"12",1,"Central Tigray",2,"Kola Temben",8,3,2428.77197265625
"13",1,"Central Tigray",2,"Degua Temben",9,3,2428.77197265625
"14",1,"Eastern Tigray",3,"Gulo Meheda",1,3,1774.25402832031
"15",1,"Eastern Tigray",3,"Saesi Tsadamba",3,3,1774.25402832031
"16",1,"Eastern Tigray",3,"Ganta Afeshum",4,3,2458.05810546875
"17",1,"Eastern Tigray",3,"Hawzen",5,3,2458.05810546875
"18",1,"Eastern Tigray",3,"Atsbi Wonberta",7,3,1774.25402832031
"19",1,"South Tigray",4,"Seharti Samre",1,3,1978.38305664062
"20",1,"South Tigray",4,"Hintalo Wajirat",3,3,2214.912109375
"21",1,"South Tigray",4,"Ambalage",4,3,1978.38305664062
"22",1,"South Tigray",4,"Endamehone",5,3,2214.912109375
"23",1,"South Tigray",4,"Rya Azebo",6,3,1978.38305664062
"24",1,"South Tigray",4,"Ofla",8,3,2214.912109375
"25",1,"Western Tigray",5,"Qafta Humera",1,3,1310.83203125
"26",1,"Western Tigray",5,"Welqayet",2,3,1801.46801757812
"27",1,"Western Tigray",5,"Tsegede",3,3,1310.83203125
"28",3,"North Gondar",1,"Adiarikay",1,3,1333.09497070312
"29",3,"North Gondar",1,"Debark",4,3,2183.88598632812
"30",3,"North Gondar",1,"Lay Armachew",8,3,2807.50610351562
"31",3,"North Gondar",1,"Gondar Zuriya",10,3,2183.88598632812
"32",3,"North Gondar",1,"DEMBIA",11,3,2183.88598632812
"33",3,"North Gondar",1,"Chilga",12,3,2807.50610351562
"34",3,"North Gondar",1,"Quara",14,3,2807.50610351562
"35",3,"North Gondar",1,"Merab Belesa",16,3,2183.88598632812
"36",3,"South Gondar",2,"Ebinat",1,3,1767.791015625
"37",3,"South Gondar",2,"Libokemkem",2,3,2620.80688476562
"38",3,"South Gondar",2,"Fogera",3,3,2620.80688476562
"39",3,"South Gondar",2,"Farta",4,3,2620.80688476562
"40",3,"South Gondar",2,"Lay Gayint",5,3,1767.791015625
"41",3,"South Gondar",2,"Simada",7,3,1767.791015625
"42",3,"South Gondar",2,"Dera",9,3,2620.80688476562
"43",3,"North Wollo",3,"Bugna",1,3,1511.72497558594
"44",3,"North Wollo",3,"Kobo",2,3,1594.55004882812
"45",3,"North Wollo",3,"Gidan",3,3,1511.72497558594
"46",3,"North Wollo",3,"Meket",4,3,1594.55004882812
"47",3,"North Wollo",3,"Wadla",5,3,1594.55004882812
"48",3,"North Wollo",3,"Guba Lafto",7,3,1594.55004882812
"49",3,"North Wollo",3,"Habru",8,3,1511.72497558594
"50",3,"South Wolo",4,"Kutaber",3,3,1376.97705078125
"51",3,"South Wolo",4,"Werebabo",6,3,1376.97705078125
"52",3,"South Wolo",4,"Kalu",7,3,2004.04797363281
"53",3,"South Wolo",4,"Dese Zuriya",9,3,2004.04797363281
"54",3,"South Wolo",4,"Sayinit",11,3,2004.04797363281
"55",3,"SOUTH WOLO",4,"DEBRESINA",12,3,1376.97705078125
"56",3,"South Wolo",4,"Jama",14,3,2004.04797363281
"57",3,"South Wolo",4,"WOGIDI",16,3,2004.04797363281
"58",3,"North Shewa",5,"Mida Oromo",1,3,1875.5400390625
"59",3,"North Shewa",5,"Moretna Juru",4,3,2500.30004882812
"60",3,"North Shewa",5,"Antsokiya Gemza",7,3,1875.5400390625
"61",3,"North Shewa",5,"MENZ MAMA MIDIR",9,3,2203.39501953125
"62",3,"North Shewa",5,"Mojana Wedera",11,3,2203.39501953125
"63",3,"North Shewa",5,"Angolelana Tera",13,3,2500.30004882812
"64",3,"North Shewa",5,"Ankober",15,3,1875.5400390625
"65",3,"East Gojjam",6,"Huletej Enese",2,3,1826.95300292969
"66",3,"East Gojjam",6,"Gonchasiso enese",3,3,1826.95300292969
"67",3,"East Gojjam",6,"Enebise Sar Midir",4,3,1172.44396972656
"68",3,"East Gojjam",6,"Enemay",6,3,2246.64111328125
"69",3,"East Gojjam",6,"Machakel",9,3,2246.64111328125
"70",3,"East Gojjam",6,"Gozamin",10,3,2246.64111328125
"71",3,"East Gojjam",6,"Baso Liben",11,3,1826.95300292969
"72",3,"East Gojjam",6,"SHEBEL BERENTA",14,3,1172.44396972656
"73",3,"West Gojjam",7,"North Achefer",1,3,1253.51696777344
"74",3,"West Gojjam",7,"Yilmana Densa",3,3,2690.61303710938
"75",3,"West Gojjam",7,"Sekela",5,3,2690.61303710938
"76",3,"West Gojjam",7,"Dembecha",8,3,1253.51696777344
"77",3,"West Gojjam",7,"Bure",10,3,2690.61303710938
"78",3,"West Gojjam",7,"South Achefer",13,3,1253.61303710938
"79",3,"Wag Himra",8,"Sekota",2,3,1149.0439453125
"80",3,"Wag Himra",8,"Dehena",3,3,1149.0439453125
"81",3,"Wag Himra",8,"GAZGIBILA",4,3,1149.0439453125
"82",3,"Awi",9,"Dangila",1,3,2363.294921875
"83",3,"Awi",9,"Banja Shekudad",2,3,2363.294921875
"84",3,"Awi",9,"Guangua",4,3,2363.294921875
"85",3,"Awi",9,"Fagita Lekoma",5,3,2363.294921875
"86",3,"Oromiya",10,"Dawa Chefa",1,3,1580.24401855469
"87",3,"Oromiya",10,"Bati",2,3,1580.24401855469
"88",3,"Oromiya",10,"Artuma Fursi",4,3,1580.24401855469
"89",4,"West Wellega",1,"Mene Sibu",1,3,950.575988769531
"90",4,"West Wellega",1,"Gibnbi",3,3,950.575988769531
